i,loss,Accuracy
0,2.87470030724021,0.06266666666666666
50,2.807421624464112,
100,2.9419789900163016,
150,2.7750008346978494,
200,2.7873171841510542,
250,2.8012214630968866,
300,2.7479391726414373,
350,2.724160764737245,
400,2.782306744706276,
450,2.7311524175080604,
500,2.684268224292943,0.22266666666666668
550,2.6050587002621857,
600,2.5864341794969334,
650,2.4343744192724617,
700,2.502270122899553,
750,2.076323526635208,
800,2.0815052024930343,
850,1.825276621796637,
900,1.739563215141326,
950,1.3531212685917373,
1000,1.3237505762885542,0.604
1050,1.4162099421296173,
1100,1.118200759271503,
1150,1.1472620354258871,
1200,0.8383654147433609,
1250,0.6577551953016626,
1300,0.7360321036796048,
1350,0.8174959782112826,
1400,0.542417344700786,
1450,0.2907769541912108,
1500,0.8342292265638018,0.8326666666666667
1550,0.37991131987043514,
1600,0.38420841195550026,
1650,0.19852168659756061,
1700,0.21637778984628808,
1750,0.24383621664197416,
1800,0.2624463385035784,
1850,0.2848420098371986,
1900,0.2631670471704165,
1950,0.09552937374042969,
2000,0.09152247664275112,0.944
2050,0.12817421142737453,
2100,0.15470108689082557,
2150,0.08402731861291328,
2200,0.10163041975216296,
2250,0.15615914954684074,
2300,0.1581740392326355,
2350,0.1379554695874887,
2400,0.04474123192544055,
2450,0.04107427996015168,
2500,0.22035876804369436,0.987
2550,0.009677914949097987,
2600,0.04199950130179692,
2650,0.04263771581120663,
2700,0.004468828344855032,
2750,0.21871588220745491,
2800,0.01392277658360152,
2850,0.02222199979681706,
2900,0.019310331858075423,
2950,0.01637075218473766,
3000,0.001558549943586014,0.996
3050,0.0025145192425593045,
3100,0.02675965864756198,
3150,0.02519393486719149,
3200,0.003808364298315502,
3250,0.003134049749698097,
3300,0.002883937878592537,
3350,0.0009236539926914295,
3400,0.00290928886294017,
3450,0.003031136904247217,
3500,0.0029010912165881074,0.9983333333333333
3550,0.0006358626762597665,
3600,0.0005302208956428319,
3650,0.02791788046735537,
3700,0.0005419141189919,
3750,0.0027558014482214205,
3800,0.0004293188739335443,
3850,0.0005414410945321821,
3900,0.0006527899326157473,
3950,0.0005375982361033659,
4000,0.00043116761010051534,1.0
4050,0.000868249106809568,
4100,0.0008098906767281131,
4150,0.0005684941941427756,
4200,0.00043915530697230255,
4250,0.0003390751590138633,
4300,0.0010127888116318454,
4350,0.00040227539816915363,
4400,0.0002741141862908532,
4450,0.0005060847047433477,
4500,0.00034384238097251956,1.0
4550,0.000235497437575465,
4600,0.0003291132096121291,
4650,0.00020225556598931337,
4700,0.0002738582743792956,
4750,0.000265991617689884,
4800,0.0002360997576997886,
4850,0.00033382428516086636,
4900,0.000671306677457979,
4950,0.000333299975078431,
5000,0.00011398522047909532,1.0
5050,0.0002670877533132068,
5100,0.00021217093053787537,
5150,0.0001801656335151104,
5200,0.00026186870421000423,
5250,0.00016673332766958902,
5300,0.00024422639519421687,
5350,6.241407503032832e-05,
5400,0.00022696559251672945,
5450,0.00012381291239751578,
5500,0.00011437913420304973,1.0
5550,0.00017899987423041042,
5600,0.00014156990152916206,
5650,0.00013581791311395464,
5700,0.002438979073785256,
5750,0.000272245931919141,
5800,0.0013272889272809727,
5850,0.0001863476531245812,
5900,0.00017084041702859304,
5950,8.955734187135601e-05,
6000,0.00012330246312925364,1.0
6050,8.379145695728263e-05,
6100,6.658510611852636e-05,
6150,0.00010222186948946835,
6200,0.00011428979086927707,
6250,6.642628308251501e-05,
6300,9.545584310517999e-05,
6350,4.320595904214403e-05,
6400,5.793461076019044e-05,
6450,7.384497546634627e-05,
6500,5.5670201640118516e-05,1.0
6550,7.03199065603616e-05,
6600,5.7695157524909785e-05,
6650,0.0001256768790847954,
6700,6.835617261068222e-05,
6750,4.819949235959636e-05,
6800,5.3116386143078204e-05,
6850,6.887497944246796e-05,
6900,6.492343144036725e-05,
6950,3.653747599602987e-05,
7000,6.997131972380582e-05,1.0
7050,2.7288629918534625e-05,
7100,5.402634477154432e-05,
7150,5.9248708356324104e-05,
7200,4.254414429886958e-05,
7250,5.691005018405213e-05,
7300,3.510646258170318e-05,
7350,4.010889595047674e-05,
7400,2.4268772381110505e-05,
7450,2.7249392722977012e-05,
7500,4.227826263776149e-05,1.0
7550,2.9486295640945547e-05,
7600,2.898180562189923e-05,
7650,4.815748397322074e-05,
7700,4.2299201634881165e-05,
7750,3.11880364531115e-05,
7800,2.1012135815160176e-05,
7850,1.9741232681859416e-05,
7900,2.46399749114228e-05,
7950,4.3364828547543156e-05,
8000,2.1560338254698824e-05,1.0
8050,2.7826396761136133e-05,
8100,2.050641939796092e-05,
8150,2.9984784848910742e-05,
8200,2.019909937478461e-05,
8250,2.562939018589521e-05,
8300,1.857434567196547e-05,
8350,1.6841807447713163e-05,
8400,2.8228480261495603e-05,
8450,2.6040940609666722e-05,
8500,1.6708425070400346e-05,1.0
8550,1.6776442060989312e-05,
8600,1.793393945422288e-05,
8650,1.618605837851379e-05,
8700,1.8947219125536482e-05,
8750,1.0413824368667613e-05,
8800,9.820172353086355e-06,
8850,1.7800426298616025e-05,
8900,1.614805725454407e-05,
8950,1.1336575542184645e-05,
9000,8.692394181731798e-06,1.0
9050,1.135800747534176e-05,
9100,1.2135261807618136e-05,
9150,1.537565695732561e-05,
9200,1.321538043059727e-05,
9250,1.0978902972769967e-05,
9300,1.1553444757332653e-05,
9350,1.083344016704518e-05,
9400,6.455958884177801e-06,
9450,1.1036130552582792e-05,
9500,1.0025199865505954e-05,1.0
9550,1.4032658995906998e-05,
9600,5.67155883714765e-06,
9650,9.18120010109417e-06,
9700,1.02278777481144e-05,
9750,9.360017192746055e-06,
9800,1.4910705040590047e-05,
9850,1.0277936874319879e-05,
9900,7.5360691210816504e-06,
9950,1.066177537881689e-05,
10000,8.148795070485664e-06,1.0
10050,9.877431779596881e-06,
10100,9.905976295622e-06,
10150,7.385818014000144e-06,
10200,4.319732261032848e-06,
10250,6.191345704433265e-06,
10300,4.66064879600365e-06,
10350,4.617743044890037e-06,
10400,6.270014291937303e-06,
10450,4.9705924861018705e-06,
10500,4.4627655124840015e-06,1.0
10550,3.5329205187746203e-06,
10600,4.086052860701505e-06,
10650,3.964465872895529e-06,
10700,4.949143178478463e-06,
10750,4.958679866458703e-06,
10800,3.6974319815066615e-06,
10850,2.250214597428186e-06,
10900,4.262488796418861e-06,
10950,3.1323725516964236e-06,
11000,2.586388750489961e-06,1.0
11050,5.9934272434450505e-06,
11100,2.383735587836302e-06,
11150,2.6149963861803225e-06,
11200,1.8878171963669093e-06,
11250,2.41473011886888e-06,
11300,2.572083811557702e-06,
11350,3.0584600153482965e-06,
11400,2.15247019361259e-06,
11450,1.028156280123503e-05,
11500,3.3111856075372583e-06,1.0
11550,2.1000118679724436e-06,
11600,2.7294425929508025e-06,
11650,2.233524415825217e-06,
11700,2.2835955063258867e-06,
11750,2.350351367980198e-06,
11800,1.3275303846948183e-06,
11850,2.140561839833326e-06,
11900,1.9712659090422466e-06,
11950,1.6279409459008298e-06,
12000,3.170528074898393e-06,1.0
12050,2.588785507152991e-06,
12100,2.667455688085101e-06,
12150,2.240683922208258e-06,
12200,2.0094094820300816e-06,
12250,1.2345481449223237e-06,
12300,1.5659508412302157e-06,
12350,1.2726950103235615e-06,
12400,1.3251480848641982e-06,
12450,1.623172214546376e-06,
12500,1.0652706185197002e-06,1.0
12550,1.1773275350194699e-06,
12600,1.5349605612983562e-06,
12650,8.38771353274199e-07,
12700,1.372831452036719e-06,
12750,1.2917697572672067e-06,
12800,9.12681029777305e-07,
12850,9.913600290999172e-07,
12900,1.084342858914362e-06,
12950,5.765101409979625e-07,
13000,1.7137750120778108e-06,1.0
13050,1.2560067972447132e-06,
13100,8.220818887789415e-07,
13150,8.697669305774009e-07,
13200,9.079124493468088e-07,
13250,1.041427882034239e-06,
13300,5.836628880194908e-07,
13350,9.72286692466991e-07,
13400,7.457881116347731e-07,
13450,5.622053279469052e-07,
13500,1.0938799419096215e-06,1.0
13550,5.145211834244062e-07,
13600,4.453799989775721e-07,
13650,7.910874097099956e-07,
13700,6.671096938316836e-07,
13750,3.547807445736615e-07,
13800,6.981042087141043e-07,
13850,6.00352329788646e-07,
13900,5.145217027143797e-07,
13950,3.1663364014631093e-07,
14000,3.5001226248061687e-07,1.0
14050,4.0723274504458033e-07,
