Iterations,DeepProblog_Loss,DeepProblog_Accuracy,PyTorch_Loss,PyTorch_Accuracy
0,2.84521475632475,0.064,0.962475165476342,0.468
50,2.83921396141875,,0.942861695885658,
100,2.80641144777328,,0.983689475953579,
150,2.8070694180779,,0.8078820297122,
200,2.80976124819724,,0.71361609607935,
250,2.78943706695328,,0.919247165471315,
300,2.76590797713144,,0.682074639350176,
350,2.78529863231605,,0.657554946541786,
400,2.7745179103977,,0.705425612330437,
450,2.75648335700348,,0.828062006831169,
500,2.74838594389777,0.108,0.694855683147907,0.752
550,2.74079742866182,,0.588912815824151,
600,2.71380260929077,,0.508923541493714,
650,2.62840299247936,,0.709602900482714,
700,2.56145339989937,,0.713407789198682,
750,2.44336179429026,,0.734404439330101,
800,2.26795318711144,,0.810295268204063,
850,2.2535276398926,,0.601788646914065,
900,1.86219138341962,,0.885292382277548,
950,1.92104306093259,,0.685674647409469,
1000,1.7379345210684,0.654666666666667,0.705478478884324,0.792
1050,1.32849130235793,,0.57383784470614,
1100,1.28160541627903,,0.687022952921689,
1150,0.924077270026812,,0.546199452630244,
1200,0.795281187988622,,0.479324349508388,
1250,0.838216134254349,,0.423828677095007,
1300,1.09066418539649,,0.554558322278317,
1350,0.643040271408711,,0.479001037860289,
1400,0.516857905813085,,0.481171768102795,
1450,0.274419087184179,,0.586456484775408,
1500,0.486667048616775,0.873333333333333,0.60916022086516,0.809333333333333
1550,0.374727542969565,,0.469063793648966,
1600,0.461979525985071,,0.424464650535956,
1650,0.340209628984177,,0.455390026151435,
1700,0.302892727533422,,0.649476580063347,
1750,0.16889670619404,,0.483996968222782,
1800,0.275466591875606,,0.608117800522596,
1850,0.104558259660097,,0.467586083646165,
1900,0.130132909426054,,0.513441807506606,
1950,0.114496695001498,,0.525182170458138,
2000,0.034355281152524,0.970666666666667,0.534649850707501,0.842666666666667
2050,0.067490563419877,,0.405486753019504,
2100,0.205784445804254,,0.457568761359435,
2150,0.136195013214388,,0.37618715737015,
2200,0.08653819464761,,0.442401626454666,
2250,0.017076144082445,,0.434273783257231,
2300,0.015816182255053,,0.499214517078362,
2350,0.029887096707063,,0.600939087383449,
2400,0.059761319768996,,0.43349490866065,
2450,0.009181500958365,,0.600532726817764,
2500,0.234391040285016,0.992,0.396138852282893,0.853333333333333
