i,loss,Accuracy
0,2.84521475632475,0.064
50,2.83921396141875,
100,2.80641144777328,
150,2.8070694180779,
200,2.80976124819724,
250,2.78943706695328,
300,2.76590797713144,
350,2.78529863231605,
400,2.7745179103977,
450,2.75648335700348,
500,2.74838594389777,0.108
550,2.74079742866182,
600,2.71380260929077,
650,2.62840299247936,
700,2.56145339989937,
750,2.44336179429026,
800,2.26795318711144,
850,2.2535276398926,
900,1.86219138341962,
950,1.92104306093259,
1000,1.7379345210684,0.654666666666667
1050,1.32849130235793,
1100,1.28160541627903,
1150,0.924077270026812,
1200,0.795281187988622,
1250,0.838216134254349,
1300,1.09066418539649,
1350,0.643040271408711,
1400,0.516857905813085,
1450,0.274419087184179,
1500,0.486667048616775,0.873333333333333
1550,0.374727542969565,
1600,0.461979525985071,
1650,0.340209628984177,
1700,0.302892727533422,
1750,0.16889670619404,
1800,0.275466591875606,
1850,0.104558259660097,
1900,0.130132909426054,
1950,0.114496695001498,
2000,0.034355281152524,0.970666666666667
2050,0.067490563419877,
2100,0.205784445804254,
2150,0.136195013214388,
2200,0.08653819464761,
2250,0.017076144082445,
2300,0.015816182255053,
2350,0.029887096707063,
2400,0.059761319768996,
2450,0.009181500958365,
2500,0.234391040285016,0.992
2550,0.008406281755233,
2600,0.004318828313426,
2650,0.081761835711533,
2700,0.002805352597215,
2750,0.005315465290951,
2800,0.003358246011791,
2850,0.025956575974432,
2900,0.06611826074724,
2950,0.005157969742464,
3000,0.009766687637559,1
3050,0.001823694855738,
3100,0.001770136314515,
3150,0.038851292019477,
3200,0.013169103372228,
3250,0.002882502187447,
3300,0.000802303020868,
3350,0.000629201623015,
3400,0.000602721236547,
3450,0.001205299997017,
3500,0.000424020564097,1
3550,0.000517885274302,
3600,0.000562069845816,
3650,0.000313441712484,
3700,0.000870350689872,
3750,0.000351498322636,
3800,0.000414570579276,
3850,0.000456666207224,
3900,0.000365359705112,
3950,0.043980704040754,
4000,0.000618115605066,1
4050,0.000699772643035,
4100,0.001083726264494,
4150,0.000606467427318,
4200,0.000592295517554,
4250,0.001444714278474,
4300,0.000182837919675,
4350,0.000448384522172,
4400,0.000183424545954,
4450,0.000155039584604,
4500,0.000135622240025,1
4550,0.000114020927192,
4600,0.000147292666771,
4650,0.000142088110029,
4700,0.000126136935743,
4750,0.000151341215337,
4800,0.000148710255603,
4850,0.000125894973414,
4900,0.000198979728398,
4950,0.000137030747736,
5000,0.000109465040883,1
5050,0.000117485664159,
5100,0.000201296138009,
5150,7.99106405043126E-05,
5200,8.84070556248856E-05,
5250,0.00021189745819,
5300,7.09939589406757E-05,
5350,8.35851439557779E-05,
5400,0.00033198569641,
5450,7.56000398214543E-05,
5500,0.000115159815965,1
5550,6.54432686722363E-05,
5600,7.88421107780912E-05,
5650,8.15082245937964E-05,
5700,9.97904067327251E-05,
5750,0.000132351254827,
5800,5.55470436270066E-05,
5850,7.45742928045376E-05,
5900,5.70117912199923E-05,
5950,6.46859119058236E-05,
6000,5.2242876066595E-05,1
6050,5.41191858810051E-05,
6100,5.69668384717302E-05,
6150,9.16505030811949E-05,
6200,5.90562046184027E-05,
6250,4.42551630863281E-05,
6300,4.34180661019812E-05,
6350,3.39872731983774E-05,
6400,5.11381424586298E-05,
6450,6.40388653910444E-05,
6500,3.43074655353138E-05,1
6550,3.96953257277201E-05,
6600,5.03349001442549E-05,
6650,3.06145303339364E-05,
6700,3.5983018068175E-05,
6750,4.19073352579542E-05,
6800,4.23487181795019E-05,
6850,5.05811583361082E-05,
6900,3.17270408512608E-05,
6950,3.85595472156305E-05,
7000,5.7442591392551E-05,1
7050,3.45074706613942E-05,
7100,2.92098775743153E-05,
7150,2.56607352306401E-05,
7200,3.3872089095517E-05,
7250,2.79860274212229E-05,
7300,2.25974203953967E-05,
7350,2.62882895105498E-05,
7400,2.08069314154339E-05,
7450,2.95848686536539E-05,
7500,3.64717061249441E-05,1
7550,2.17750501670931E-05,
7600,2.97083766995906E-05,
7650,1.79504207567799E-05,
7700,2.5497363757293E-05,
7750,2.02744810457665E-05,
7800,1.87625428647072E-05,
7850,1.774080450607E-05,
7900,1.20326731067005E-05,
7950,1.77764746342397E-05,
8000,1.68990829584383E-05,1
8050,1.19182502492594E-05,
8100,1.41141487315681E-05,
8150,2.21456841909487E-05,
8200,1.22521492051292E-05,
8250,1.2099442809411E-05,
8300,1.41490520589189E-05,
8350,1.23689764843408E-05,
8400,1.48582375185776E-05,
8450,1.1908753445138E-05,
8500,1.01944528579399E-05,1
8550,1.17552289514439E-05,
8600,1.21973390141314E-05,
8650,1.11457607641957E-05,
8700,1.63212142573179E-05,
8750,1.00800040237937E-05,
8800,1.4252522351787E-05,
8850,1.81714212996129E-05,
8900,6.0816402931848E-06,
8950,9.95365569689201E-06,
9000,1.22353768085364E-05,1
9050,9.90125966023982E-06,
9100,1.18207470104181E-05,
9150,1.27719105986866E-05,
9200,8.52784265878278E-06,
9250,7.16884898130681E-06,
9300,1.0952709872429E-05,
9350,1.00371122798333E-05,
9400,1.36437494815918E-05,
9450,1.27965921984679E-05,
9500,5.93620818406088E-06,1
9550,9.90128329768871E-06,
9600,6.1127055818798E-06,
9650,3.29449626809125E-06,
9700,6.77308511109981E-06,
9750,5.11364644450281E-06,
9800,7.76015824174557E-06,
9850,6.02442644423209E-06,
9900,6.21754086920021E-06,
9950,5.30676862335302E-06,
10000,6.21754103471899E-06,1
10050,5.57142737909507E-06,
10100,4.2338737300499E-06,
10150,5.10412567509303E-06,
10200,3.49477076445919E-06,
10250,4.4532197610721E-06,
10300,5.1685058885956E-06,
10350,2.8724938265008E-06,
10400,9.24812554664178E-06,
10450,5.29011369262788E-06,
10500,3.75227912380168E-06,1
10550,5.78370746414756E-06,
10600,4.61061592356675E-06,
10650,3.01793314211609E-06,
10700,4.96108553822292E-06,
10750,3.18959379028025E-06,
10800,2.79858683817975E-06,
10850,1.97841683930491E-06,
10900,2.52678525216103E-06,
10950,4.58199887624638E-06,
11000,1.8210598095746E-06,1
11050,2.46718045835065E-06,
11100,3.45427828129911E-06,
11150,3.96208216491428E-06,
11200,1.93311713365567E-06,
11250,1.43720321732718E-06,
11300,1.65178343484531E-06,
11350,1.66370227478161E-06,
11400,2.16915474752613E-06,
11450,1.4467417413175E-06,
11500,1.47058287081145E-06,1
11550,1.12010701066624E-06,
11600,1.93789423086982E-06,
11650,2.0714047265829E-06,
11700,1.90451354705543E-06,
11750,1.41097967034774E-06,
11800,1.16063746342877E-06,
11850,9.36522657229896E-07,
11900,2.33605729148438E-06,
11950,1.03189063560545E-06,
12000,7.88703036507459E-07,1
12050,1.13202739621947E-06,
12100,9.2460296035275E-07,
12150,1.36329598938609E-06,
12200,9.79439323515349E-07,
12250,1.56595285807059E-06,
