Iterations,DeepProblog_Accuracy,DeepProblog_Loss,PyTorch_Loss,PyTorch_Accuracy
1,0.480132545458061,0.768292227645519,1.0649905204773,0.468415841584158
50,,0.836565075613291,1.08818674087524,
100,,0.741451757869411,1.06715023517609,
150,,0.726859849453855,1.08048069477081,
200,,0.867227570442249,1.04939532279968,
250,,0.726960666403927,1.07039988040924,
300,,0.754886986619508,1.03704869747162,
350,,0.808281277311432,1.04843091964722,
400,,0.830623082257369,1.02887189388275,
450,,0.896800504172083,1.03438496589661,
500,0.520940594059406,0.73844075572383,1.04231977462769,0.468415841584158
550,,0.721850952466543,1.04126834869385,
600,,0.797490062791038,1.02833688259125,
650,,0.859852371306013,1.02544283866882,
700,,0.689053545450723,1.00318872928619,
750,,0.64179028412742,1.01158559322357,
800,,0.906757082173128,1.01810574531555,
850,,0.768330511926888,1.0253654718399,
900,,0.817495126888593,1.02164614200592,
950,,0.7482550089536,1.02227938175201,
1000,0.520940594059406,0.531852742996841,1.01087236404419,0.467029702970297
1050,,0.866668815856447,0.994058012962341,
1100,,0.724766443112947,0.976762771606445,
1150,,0.750062582696957,0.991121888160706,
1200,,0.79433243582237,0.952631294727325,
1250,,0.656133552815133,0.904781699180603,
1300,,0.59531260165183,0.893915116786957,
1350,,0.61061869404307,0.926339745521545,
1400,,0.82694789466234,0.950683236122131,
1450,,0.645082341121988,0.923644244670868,
1500,0.520940594059406,0.555542501180534,0.905904471874237,0.467029702970297
1550,,0.545784264077196,0.818564534187317,
1600,,0.76549610703274,0.98831182718277,
1650,,0.737918083396038,0.816939473152161,
1700,,0.496483854864696,0.882434666156769,
1750,,0.55027775676658,0.928753972053528,
1800,,0.683940207803118,0.799043476581574,
1850,,0.530002920056109,0.885223925113678,
1900,,0.730115414406175,0.934260606765747,
1950,,0.591686430996021,0.946481943130493,
2000,0.727574257425743,0.588992024586063,0.876816809177399,0.468415841584158
2050,,0.611468436166746,0.967759191989899,
2100,,0.432838288255263,0.876986384391785,
2150,,0.469765583111153,0.774985909461975,
2200,,0.589021131535702,0.965934991836548,
2250,,0.649770207284369,0.859686970710754,
2300,,0.596118479531718,0.876663684844971,
2350,,0.466655922606181,0.875214695930481,
2400,,0.336286835354332,0.818566381931305,
2450,,0.57094478682703,0.833207190036774,
2500,0.760247524752475,0.390987753310432,0.891667008399963,0.468415841584158
2550,,0.389384955642795,0.914479911327362,
2600,,0.37621197017234,0.839685797691345,
2650,,0.366283384437477,0.928712904453278,
2700,,0.448358461768132,0.920517325401306,
2750,,0.387795434026203,0.878972947597504,
2800,,0.352362957267427,0.968272268772125,
2850,,0.491280899389203,0.849217534065247,
2900,,0.363404915019269,0.878227055072784,
