i,Accuracy,time,loss
1,0.520940594059406,,
50,,82.57400679588318,0.5941627305784287
100,,83.36418652534485,0.7414517578694112
150,,84.1470992565155,0.7268598494538545
200,,84.91800355911255,0.8672275704422491
250,,85.71457767486572,0.7269606664039273
300,,86.50542902946472,0.7548869866195084
350,,87.29572820663452,0.808281277311432
400,,88.07518315315247,0.8306230822573685
450,,88.86383247375488,0.8968005041720835
500,0.520940594059406,89.73702383041382,0.7384407557238304
550,,169.7014033794403,0.721850952466543
600,,170.5656385421753,0.797490062791038
650,,171.4062147140503,0.8598523713060133
700,,172.24117231369019,0.6890535454507233
750,,173.08334374427795,0.64179028412742
800,,173.86439490318298,0.9067570821731278
850,,174.65872597694397,0.7683305119268876
900,,175.44315195083618,0.8174951268885928
950,,176.22673106193542,0.7482550089535996
1000,0.520940594059406,177.07788348197937,0.5318527429968415
1050,,256.73736119270325,0.8666688158564473
1100,,257.5884795188904,0.724766443112947
1150,,258.45322847366333,0.7500625826969568
1200,,259.28031730651855,0.7943324358223702
1250,,260.1428744792938,0.6561335528151332
1300,,261.0322048664093,0.5953126016518301
1350,,261.8717534542084,0.6106186940430696
1400,,262.6997437477112,0.8269478946623401
1450,,263.512398481369,0.6450823411219876
1500,0.520940594059406,264.3638331890106,0.5555425011805338
1550,,342.9076862335205,0.5457842640771962
1600,,343.70334482192993,0.7654961070327405
1650,,344.57338213920593,0.7379180833960381
1700,,345.4670503139496,0.49648385486469565
1750,,346.30448031425476,0.5502777567665804
1800,,347.0636613368988,0.6839402078031181
1850,,347.82756066322327,0.5300029200561089
1900,,349.0494899749756,0.7301154144061754
1950,,349.82429695129395,0.5916864309960213
2000,0.7275742574257426,350.6007103919983,0.5889920245860631
2050,,429.8262267112732,0.6114684361667458
2100,,430.63645577430725,0.4328382882552632
2150,,431.45942068099976,0.46976558311115313
2200,,432.27271819114685,0.5890211315357018
2250,,433.06746101379395,0.6497702072843691
2300,,433.87132716178894,0.5961184795317179
2350,,434.65949273109436,0.4666559226061811
2400,,435.51117849349976,0.3362868353543322
2450,,436.32618284225464,0.5709447868270295
2500,0.7602475247524753,437.1439678668976,0.39098775331043223
2550,,517.4660296440125,0.38938495564279535
2600,,518.317494392395,0.3762119701723405
2650,,519.2135572433472,0.3662833844374769
2700,,520.0905995368958,0.44835846176813154
2750,,520.900515794754,0.3877954340262035
2800,,521.7314314842224,0.35236295726742656
2850,,522.5338470935822,0.4912808993892035
2900,,523.3237450122833,0.3634049150192692
2950,,524.1055617332458,0.4270895510926767
3000,0.7554455445544555,524.9152443408966,0.25330208593184333
3050,,605.657030582428,0.564073080461359
3100,,606.5363216400146,0.3863839880152186
3150,,607.3752505779266,0.32593554094297267
3200,,608.2579004764557,0.3488204745498173
3250,,609.0767500400543,0.43400843846506953
3300,,609.8874683380127,0.5891281269563029
3350,,610.6849627494812,0.3350337208993038
3400,,611.4899373054504,0.3637058345805131
3450,,612.3393738269806,0.4363908946836066
3500,0.7958910891089109,613.1216039657593,0.4693816953681602
3550,,694.2734227180481,0.4982325632466541
3600,,695.0831909179688,0.3412276786581831
3650,,695.8936331272125,0.3686178189885025
3700,,696.7281200885773,0.412860233121671
3750,,697.9965643882751,0.5621988927563284
3800,,698.8318240642548,0.4111772025598578
3850,,699.6354393959045,0.44301256397779876
3900,,700.4187595844269,0.4305921400779915
3950,,701.1834547519684,0.4747619356053967
4000,0.8302970297029703,702.0251054763794,0.30657959359563797
4050,,781.1018116474152,0.31363128769144943
4100,,781.9384801387787,0.3852080643518954
4150,,782.784764289856,0.3658547671518887
4200,,783.5739686489105,0.3551996023410263
4250,,784.4070899486542,0.3184557867893906
4300,,785.2164902687073,0.3402710062705274
4350,,786.0562508106232,0.19821598134288865
4400,,786.8699069023132,0.29082916238754075
4450,,787.6902277469635,0.16546902509029981
4500,0.8405940594059406,788.5246677398682,0.3670869052509467
4550,,868.944581747055,0.25226949277165533
4600,,869.7876360416412,0.279909716354867
4650,,870.6851344108582,0.37320779768786416
4700,,871.5247485637665,0.3268518229398393
4750,,872.3853960037231,0.34215107934281114
4800,,873.2539312839508,0.28089705973821666
4850,,874.0913355350494,0.2254755797933032
4900,,874.9488444328308,0.2632245570696851
4950,,875.7648160457611,0.2911373071721411
5000,0.8249009900990099,876.5354192256927,0.2830861031260043
5050,,957.6737234592438,0.3074249360969227
5100,,958.48122215271,0.334395991126538
5150,,959.3091564178467,0.3983563979789098
5200,,960.1648163795471,0.3377879079964741
5250,,960.9920897483826,0.2023947874026917
5300,,961.8435454368591,0.2745337876440557
5350,,962.6703836917877,0.23680306222151676
5400,,963.5171468257904,0.21266772284010013
5450,,964.3792843818665,0.16267952777555134
5500,0.8701980198019802,965.2062640190125,0.30779250082095105
5550,,1046.0064597129822,0.21002376862056024
5600,,1046.8244285583496,0.33417397190873827
5650,,1047.6443214416504,0.2205381449228583
5700,,1048.4741072654724,0.26709925471162976
5750,,1049.2999904155731,0.2245446573367195
5800,,1050.118103504181,0.45179115817731835
5850,,1050.9464402198792,0.20253081768520137
5900,,1051.7255597114563,0.3747854682729019
5950,,1052.5542724132538,0.25656737353232717
6000,0.9075247524752476,1053.3544521331787,0.32870042124331195
6050,,1134.733925819397,0.1840919340535954
6100,,1135.4947803020477,0.15340967215676285
6150,,1136.2856216430664,0.21491732539947617
6200,,1137.1026375293732,0.13840472085655509
6250,,1137.9132778644562,0.3194287842475844
6300,,1138.6979949474335,0.25215913833321796
6350,,1139.5331621170044,0.22966889605133903
6400,,1140.3386409282684,0.20176253744371553
6450,,1141.1399779319763,0.22932406804294875
6500,0.93,1141.9652307033539,0.12165118948061915
6550,,1221.5577976703644,0.22357224694642544
6600,,1222.3219335079193,0.24190905336938706
6650,,1223.1499783992767,0.1710297795382232
6700,,1223.958444595337,0.2381040553365385
6750,,1224.7720429897308,0.28731382139152933
6800,,1225.5846242904663,0.14318350997709772
6850,,1226.398636341095,0.3686030109047502
6900,,1227.2273411750793,0.10771312463595743
6950,,1228.034607410431,0.2454046620992801
7000,0.920940594059406,1228.8509285449982,0.22474233284755418
7050,,1310.1148159503937,0.10144398792036873
7100,,1310.8434381484985,0.34396906570783786
7150,,1311.6831905841827,0.1869293080672155
7200,,1312.4284954071045,0.36376017691359996
7250,,1313.2245841026306,0.14802082918916398
7300,,1313.9960415363312,0.1433472346738021
