i,loss,Accuracy
0,0.0445372486114502,0.06455445544554456
50,1.0725561690330505,
100,0.8564174151420594,
150,1.047131153345108,
200,0.9380520582199097,
250,0.9117542934417725,
300,0.8618567132949829,
350,0.8840085291862487,
400,0.9967769503593444,
450,0.9364961385726929,
500,0.9846570563316345,0.46841584158415844
550,0.8363900446891784,
600,0.944853458404541,
650,0.9245194339752197,
700,0.955890154838562,
750,0.9217188882827759,
800,0.9659628748893738,
850,0.8877348184585572,
900,0.9884743332862854,
950,0.8932504034042359,
1000,0.9251176428794861,0.46841584158415844
1050,0.7428322601318359,
1100,0.9251226162910462,
1150,0.9864276647567749,
1200,0.8719670414924622,
1250,0.8688783645629883,
1300,0.8571048712730408,
1350,0.9928793144226075,
1400,0.8924874758720398,
1450,0.8424637794494629,
1500,0.9670841360092163,0.46841584158415844
1550,0.8231742215156556,
1600,0.8577835917472839,
1650,0.9738404655456543,
1700,0.8539913511276245,
1750,0.9450724935531616,
1800,0.9186073207855224,
1850,0.8125662612915039,
1900,0.785090491771698,
1950,0.7269645977020264,
2000,0.8549638915061951,0.46841584158415844
2050,0.9668521237373352,
2100,0.9337460947036743,
2150,0.9304771137237549,
2200,0.8080765867233276,
2250,0.9554854989051819,
2300,0.9193487095832825,
2350,0.8548867201805115,
2400,0.7985150003433228,
2450,0.9709325671195984,
2500,0.9318813395500183,0.46841584158415844
2550,0.9824268698692322,
2600,0.9254375076293946,
2650,0.8800836658477783,
2700,0.8921043491363525,
2750,0.7406951236724854,
2800,0.8685075330734253,
2850,0.781688482761383,
2900,0.9062654376029968,
2950,0.8636538982391357,
3000,0.8508420395851135,0.46841584158415844
3050,1.0405303978919982,
3100,0.928607485294342,
3150,0.9316794276237488,
3200,0.8196110820770264,
3250,0.9383541202545166,
3300,0.9181073713302612,
3350,0.9240386939048767,
3400,0.8043040537834167,
3450,0.903503954410553,
3500,0.9986908912658692,0.46702970297029706
3550,0.9825831651687622,
3600,0.9267155003547668,
3650,0.8304180836677552,
3700,0.8353796863555908,
3750,0.8364614987373352,
3800,0.9215296983718873,
3850,0.9723867726325989,
3900,0.9793417978286744,
3950,0.9834099054336548,
4000,0.9003270888328552,0.46841584158415844
4050,0.889888517856598,
4100,0.9722785234451294,
4150,0.8592030310630798,
4200,0.923958637714386,
4250,0.7543902158737182,
4300,0.8620154666900635,
4350,0.9386586976051331,
4400,0.9740712690353394,
4450,0.9749600315093994,
4500,0.9550957345962524,0.46841584158415844
4550,0.8682793545722961,
4600,0.8861607050895691,
4650,0.7972467923164368,
4700,0.7872312021255493,
4750,0.8550285649299622,
4800,0.9133588242530822,
4850,0.8445213437080383,
4900,0.9251852607727051,
4950,0.75068687915802,
5000,0.7916773223876953,0.46702970297029706
5050,0.8995990419387817,
5100,0.9095112180709839,
5150,0.9004201912879943,
5200,0.9008876943588257,
5250,0.9361508750915527,
5300,0.8898932003974914,
5350,0.884681088924408,
5400,0.7996453213691711,
5450,0.83312744140625,
5500,0.8418039441108703,0.46841584158415844
5550,0.9245820832252503,
5600,0.9150893497467041,
5650,0.9444193267822265,
5700,0.8662713766098022,
5750,0.9937965655326844,
5800,0.8543688201904297,
5850,0.8394464659690857,
5900,0.8884468340873718,
5950,0.9337953948974609,
6000,0.8413206768035889,0.46702970297029706
