i,loss,Accuracy
10750,0.0028474115613360287,
10800,0.00227248894759174,
10850,0.002422699150743828,
10900,0.002643533868027958,
10950,0.0019207326045278758,
11000,0.00241888054262864,1.0
11050,0.0019917475450936316,
11100,0.002266483823865459,
11150,0.002015112168706716,
11200,0.0026606179091833403,
11250,0.0023096045353042357,
11300,0.0025748625294008485,
11350,0.0027673537292213935,
11400,0.00212606555343758,
11450,0.0021865423279462766,
11500,0.002399021127981374,1.0
11550,0.00191674883292838,
11600,0.002126514522899482,
11650,0.0022164219045432854,
11700,0.00205578738756569,
11750,0.0020032317821147383,
11800,0.002071381474280888,
11850,0.001943548086595768,
11900,0.0025533566442374573,
11950,0.001710794637219634,
12000,0.00172616988139242,1.0
12050,0.002300109128393994,
12100,0.0018139706740109799,
12150,0.001949118805973048,
12200,0.002019447872919179,
12250,0.002057439298798077,
12300,0.001967957877271117,
12350,0.0016326797431202797,
12400,0.0018599559323545934,
12450,0.002197568438130929,
12500,0.00149756837057172,1.0
12550,0.0017905650294483294,
12600,0.0015019178456032434,
12650,0.0018388751682851016,
12700,0.0017541296729293532,
12750,0.0018190000331516853,
12800,0.0016703304922165837,
12850,0.001890558371861751,
12900,0.0016804984361367618,
12950,0.0019929898838764665,
13000,0.0015306800270273658,1.0
13050,0.0017973889072570345,
13100,0.0019325144620916403,
13150,0.0020678457932272075,
13200,0.0014376277503454888,
13250,0.0015109037027658532,
13300,0.0016969834696525848,
13350,0.0014651223329607388,
13400,0.001435547149544775,
13450,0.0015037857306663444,
13500,0.0015471240326754892,1.0
13550,0.0015630758536844692,
13600,0.0013893146746153983,
13650,0.0015715880367091972,
13700,0.0014961635495850604,
13750,0.0014809194683181733,
13800,0.0014892357957527666,
13850,0.0014520888779652177,
13900,0.0012677268742977816,
13950,0.001618454303674334,
14000,0.0012875279324988703,1.0
14050,0.00140268170373016,
14100,0.0012581895521893876,
14150,0.001181887095909916,
14200,0.001386626710430184,
14250,0.0013702702018085163,
14300,0.0011945750537883943,
14350,0.0012557479631115941,
14400,0.0014853115990279388,
14450,0.0010287457172646443,
14500,0.0016736144811642143,1.0
14550,0.0017310808589540044,
14600,0.0012808849471550475,
14650,0.001487540937583422,
14700,0.0014199271989569565,
14750,0.0014716215484743306,
14800,0.001450787534869645,
14850,0.0010852160301314923,
14900,0.0012094122263906803,
14950,0.0015063559873193097,
15000,0.0010886747989501992,1.0
15050,0.0011334283987553921,
15100,0.001319106943851689,
15150,0.0011801994155908504,
15200,0.001119413184706848,
15250,0.001367911921459991,
15300,0.00115376257960087,
15350,0.0011884627888270303,
15400,0.0010125278411169854,
15450,0.001124234070047688,
15500,0.0011134097726984637,1.0
15550,0.0011454385725518435,
15600,0.001318006644642591,
15650,0.0010514654031005591,
15700,0.0010405199053786455,
15750,0.0010144074512329932,
15800,0.000986136132647786,
15850,0.001156149115212098,
15900,0.0010228253064452732,
15950,0.0010918636088468473,
16000,0.0012457858944462863,1.0
16050,0.0010559326632736555,
16100,0.0012634722165908712,
16150,0.0008907628456366044,
16200,0.0011151609007550626,
16250,0.0011917481117882153,
16300,0.0010917550486060504,
16350,0.0011014374258543499,
16400,0.0009699072374294561,
16450,0.0008786547469336641,
16500,0.0011422288273829017,1.0
16550,0.0009005659298977619,
16600,0.000974019185443925,
16650,0.000942394465520864,
16700,0.0009745316157495354,
16750,0.0012669075357276557,
16800,0.0010861866638887533,
16850,0.0010047358612084562,
16900,0.0011751829785908862,
16950,0.0008878217713350415,
17000,,1.0
