i,loss,Accuracy
0,2.842514354562123147,0.064
50,2.8370138346379186,
100,2.7873317466885568,
150,2.7790281501339615,
200,2.7798690976414746,
250,2.7924754665537104,
300,2.7822002954737943,
350,2.7310631898291833,
400,2.7710540135511352,
450,2.7249447188541587,
500,2.6872952113872537,0.12266666666666666
550,2.6335521044046346,
600,2.5311271225997003,
650,2.5873148179111234,
700,2.342390994439597,
750,2.3201572430082993,
800,2.0771627335457867,
850,1.9363548934618648,
900,1.665907487626385,
950,1.3854006313562761,
1000,1.4357700682387187,0.592
1050,1.236633670515872,
1100,1.18893382500572,
1150,1.0117733233969353,
1200,1.1089660603798328,
1250,0.8132390892705021,
1300,0.7841071845611627,
1350,0.7204172093282056,
1400,0.8167212262094068,
1450,0.3380203859469034,
1500,0.5328529890852939,0.8613333333333333
1550,0.4545166009297435,
1600,0.3054294261559524,
1650,0.6779984341828872,
1700,0.27117502301879054,
1750,0.1992715717098106,
1800,0.3375291946659351,
1850,0.16452600542279514,
1900,0.15966210069145195,
1950,0.3786735283886669,
2000,0.0929797223733314,0.9546666666666667
2050,0.10001551606624261,
2100,0.04610091453632707,
2150,0.05604481903450913,
2200,0.12767325128251414,
2250,0.02572068214728922,
2300,0.008618208718907365,
2350,0.002774347153883439,
2400,0.03068114521545376,
2450,0.0038018805258475154,
2500,0.0043268510542783505,0.9706666666666667
2550,0.03566160194691926,
2600,0.004090357074298054,
2650,0.00877643130700563,
2700,0.0009579639371319567,
2750,0.00435507351743644,
2800,0.042267439809834516,
2850,0.0008709923053367553,
2900,0.013006408312776087,
2950,0.02535741928651089,
3000,0.0050950812286194025,0.9706666666666667
3050,0.004647909679462848,
3100,0.010962169497977592,
3150,0.0019981171539083333,
3200,0.003925998688613368,
3250,0.0013906184738587857,
3300,0.0008956598888604162,
3350,0.005249508875254407,
3400,0.006387109865769934,
3450,0.0004709503369516204,
3500,0.00017165807565712256,0.976
3550,0.000493368362140059,
3600,0.0007842932891179863,
3650,0.00018652475422678265,
3700,0.05525034610509375,
3750,0.0031165081120564974,
3800,0.02543612687132659,
3850,0.0009637947078702193,
3900,0.017851329604081746,
3950,0.10247592333623205,
4000,0.0016879025380870177,0.9893333333333333
4050,0.01671799605852382,
4100,0.0014682765934644882,
4150,0.0010176876237615927,
4200,0.0008150476279776331,
4250,0.0008636081548695744,
4300,0.0005283568397524976,
4350,0.0009348983584536977,
4400,0.0005244987185203064,
4450,0.0005129610867463451,
4500,0.0008538325225852235,0.9893333333333333
4550,0.0003235872270481846,
4600,0.0008210432739493439,
4650,0.00031650779408915917,
4700,0.00022038815741100395,
4750,0.00018923571571013975,
4800,0.00014963859381505028,
4850,0.00018928430295454167,
4900,0.00011747408348621034,
4950,0.0003266253283856607,
5000,0.0002620049515417757,0.9893333333333333
5050,0.00015452075286816305,
5100,0.0002573717954436976,
5150,8.786564792092626e-05,
5200,0.0003110375438586808,
5250,0.00012505854695450645,
5300,0.00015279495066492736,
5350,8.551926846339453e-05,
5400,0.00011373703667227653,
5450,0.00010412039514548735,
5500,0.00020578869589008667,0.9893333333333333
5550,0.0002041418991531714,
5600,0.0003877505053878332,
5650,6.0118454667311114e-05,
5700,3.5347703731193686e-05,
5750,0.00015155055153730107,
5800,3.685740799225672e-05,
5850,9.18954245224226e-05,
5900,8.929676534489493e-05,
5950,3.941471983885447e-05,
6000,4.9088395686909184e-05,0.9893333333333333
6050,6.409167111779134e-05,
6100,6.86855724768003e-05,
6150,7.659585298044986e-05,
6200,4.797692026147532e-05,
6250,5.286704567403871e-05,
6300,5.280617166560682e-05,
6350,2.8232107134742914e-05,
6375,,0.9893333333333333
