i,loss,Accuracy
0,0.9458184731006622,0.4533333333333333
50,0.9458184731006622,
100,0.8171797761321068,
150,0.8134800240397453,
200,0.9203935523331165,
250,0.7964198109507561,
300,0.8870012952387333,
350,0.8127180421352387,
400,0.797869219481945,
450,0.9215789549052715,
500,0.8293914161622524,0.7466666666666667
550,0.5329369165748358,
600,0.6608684893697501,
650,0.5445177012495697,
700,0.7162667732685805,
750,0.6551663944870234,
800,0.6668139338120818,
850,0.6349099460244179,
900,0.34193316530931045,
950,0.4957352127390914,
1000,0.3695704837597441,0.7466666666666667
1050,0.397672078134492,
1100,0.5478998933773255,
1150,0.3395086554760928,
1200,0.6450428565079346,
1250,0.3110568081447855,
1300,0.3312188557779882,
1350,0.35265438980306496,
1400,0.4955557294981554,
1450,0.4126755718817003,
1500,0.48533239525801036,0.7866666666666666
1550,0.36125154386041686,
1600,0.33952395608881486,
1650,0.4825314950686879,
1700,0.3149817225674633,
1750,0.2550913422415033,
1800,0.21439581314116368,
1850,0.06536538354092045,
1900,0.23598913939225896,
1950,0.11898400035381201,
2000,0.2812945276431765,0.8066666666666666
2050,0.347214797045026,
2100,0.1315735841753485,
2150,0.16779742908453044,
2200,0.23083172503895186,
2250,0.16711541540003963,
2300,0.14820710532641898,
2350,0.13073879067182134,
2400,0.3286187700250139,
2450,0.2983431033996021,
2500,0.23905187697650035,0.8
2550,0.18586638877655787,
2600,0.09704827800208932,
2650,0.12809834725577218,
2700,0.012292102894825803,
2750,0.21904887176446436,
2800,0.15977614242594426,
2850,0.2648083104084127,
2900,0.08973303942948405,
2950,0.2258212124398665,
3000,0.07914608329839666,0.7866666666666666
3050,0.0980533113227824,
3100,0.06523804367918785,
3150,0.13386347005850438,
3200,0.0826345035341268,
3250,0.056535287974550104,
3300,0.0854043814383067,
3350,0.10929161965839683,
3400,0.05827183075160491,
3450,0.11810399440250237,
3500,0.08503328628687598,0.78
3550,0.03822588401532925,
3600,0.08670571670858791,
3650,0.04500037708958132,
3700,0.10171495102632648,
3750,0.048060618874840484,
3800,0.1361874023823043,
3850,0.0875029437054917,
3900,0.03644260644594624,
3950,0.0063682218165739355,
4000,0.018317623835695258,0.78
4050,0.0405640039497564,
4100,0.027201583691490755,
4150,0.07938111080016669,
4200,0.24762931492913906,
4250,,0.7933333333333333
